season,tour,start_date,end_date,player,round,statistic,measure,value
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,1,Penalties,tvalue,0
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,2,Penalties,tvalue,0
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,1,Driving Distance Avg,tvalue,307
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,2,Driving Distance Avg,tvalue,307
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,1,Fairways Hit,tvalue,0.8636
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,2,Fairways Hit,tvalue,0.8636
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,1,Fairway Opportunities,tvalue,22
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,2,Fairway Opportunities,tvalue,22
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,1,Longest Drive,tvalue,325
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,2,Longest Drive,tvalue,325
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,1,GIR,tvalue,0.7931
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,2,GIR,tvalue,0.7931
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,1,GIR Opportunities,tvalue,29
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,2,GIR Opportunities,tvalue,29
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,1,Sand Saves,tvalue,0.25
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,2,Sand Saves,tvalue,0.25
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,1,Sand Saves Opportunities,tvalue,4
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,2,Sand Saves Opportunities,tvalue,4
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,1,Average Putts - GIR,tvalue,1.478
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,2,Average Putts - GIR,tvalue,1.478
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,1,Total Putts - GIR,tvalue,34
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,2,Total Putts - GIR,tvalue,34
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,1,Putts Per Round,tvalue,26.69
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,2,Putts Per Round,tvalue,26.69
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,1,SG: Putting,tvalue,4.421
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,2,SG: Putting,tvalue,4.421
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,1,SG: Around-the-Green,tvalue,-0.741
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,2,SG: Around-the-Green,tvalue,-0.741
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,1,SG: Approach-the-Green,tvalue,0.694
2020,AT&T Pebble Beach Pro-Am,2020-02-06,2020-02-09,Scott Piercy,2,SG: Approach-the-Green,tvalue,0.694
